Item Number,UPC Code,List Price Per 100,Net Price Per 100,Carton Qty,Carton Wt,Description,,,,,,,
FB-1N,10085339941283,"6,166.57","3,965.72",6,8.40,FLOOR BOX RECT SIMPLEX DEV NICKEL,,,,,,,
FB-1NCVR,10085339941320,"3,757.75","2,818.31",1,0.54,FLOOR BOX SIMPLEX NICKEL COVER,,,,,,,
FB-2,10085339941245,"6,166.57","3,965.72",6,8.58,FLOOR BOX RECT. DUPLEX DEV BRASS,,,,,,,
FB-2CVR,10085339941337,"3,661.41","2,746.06",1,0.64,FLOOR BOX DUPLEX BRASS COVER,,,,,,,
FB-2DB,10085339996016,"8,152.93","5,243.15",6,8.58,FLOOR BOX RECT. DUPLEX DARK BRONZE,,,,,,,
FB-2DBCVR,10085339996023,"4,609.62","3,457.21",1,0.64,FLOOR BOX DUPLEX DARK BRONZE COVER,,,,,,,
FB-2N,10085339941290,"6,937.39","4,461.44",6,8.58,FLOOR BOX RECT DUPLEX DEV NICKEL,,,,,,,
FB-2NCVR,10085339941344,"4,143.17","3,107.38",1,0.64,FLOOR BOX DUPLEX  NICKEL COVER,,,,,,,
FB-2RI,10085339984594,"2,408.21","1,806.16",6,0.00,FLOOR BOX RECT. DUPLEX ROUGH IN KIT,,,,,,,
FB-3,10085339941252,"6,937.39","4,461.44",6,9.60,FLOOR BOX ROUND DUPLEX BRASS,,,,,,,
FB-3CVR,10085339941351,"3,661.41","2,746.06",1,0.74,FLOOR BOX ROUND BRASS COVER,,,,,,,
FB-3DB,10085339996030,"8,708.82","5,600.64",6,9.60,FLOOR BOX ROUND DUPLEX DARK BRONZE,,,,,,,
FB-3DBCVR,10085339996047,"4,682.37","3,511.78",1,0.74,FLOOR BOX ROUND DUPLEX  DARK BRONZE,,,,,,,
FB-3N,10085339941306,"7,708.22","4,957.16",6,9.60,FLOOR BOX ROUND DUPLEX DEV NICKEL,,,,,,,
FB-3NCVR,10085339941368,"4,143.17","3,107.38",1,0.74,FLOOR BOX ROUND NICKEL COVER,,,,,,,
FB-3RI,10085339984600,"2,785.15","2,088.87",6,0.00,FLOOR BOX ROUND DUPLEX ROUGH-IN KIT,,,,,,,
FB-4,10085339990724,"8,740.28","5,620.87",6,11.70,FLOOR BOX ROUND DUPLEX LOW VOLTAGE BRASS,,,,,,,
FB-4CVR,10085339990786,"4,719.75","3,539.81",1,0.95,FLOOR BOX ROUND DUPLEX LOW VOLTAGE COVER BRASS,,,,,,,
FB-4DB,10085339990731,"10,313.53","6,632.63",6,11.70,FLOOR BOX ROUND DUPLEX LOW VOLTAGE DARK BRONZE,,,,,,,
FB-4DBCVR,10085339990793,"5,943.39","4,457.54",1,0.95,FLOOR BOX ROUND DUPLEX LOW VOLTAGE COVER DARK BRONZE,,,,,,,
FB-4N,10085339990748,"9,439.50","6,070.54",6,11.70,FLOOR BOX ROUND DUPLEX LOW VOLTAGE NICKEL,,,,,,,
FB-4NCVR,10085339990809,"5,244.16","3,933.12",1,0.95,FLOOR BOX ROUND DUPLEX LOW VOLTAGE COVER DARK NICKEL,,,,,,,
FB-4RI,10085339984617,"3,025.46","2,269.09",6,0.00,FLOOR BOX ROUND DUPLEX LOW VOLTAGE ROUGH-IN KIT,,,,,,,
FB-5,10085339990755,"9,614.31","6,182.96",6,13.56,FLOOR BOX DOUBLE GANGE DECOR LOW VOLTAGE BRASS,,,,,,,
FB-5CVR,10085339990816,"4,894.56","3,670.92",1,1.00,FLOOR BOX DOUBLE GANG DECOR LOW VOLTAGE COVER BRASS,,,,,,,
FB-5DB,10085339990762,"11,187.55","7,194.71",6,13.56,FLOOR BOX DOUBLE GANG DECOR LOW VOLTAGE DARK BRONZE,,,,,,,
FB-5DBCVR,10085339990823,"6,992.23","5,244.17",1,1.10,FLOOR BOX DOUBLE GANG DECOR LOW VOLTAGE COVER DARK BRONZE,,,,,,,
FB-5N,10085339990779,"10,313.53","6,632.63",6,13.56,FLOOR BOX DOUBLE GANG DECOR LOW VOLTAGE NICKEL,,,,,,,
FB-5NCVR,10085339990830,"5,593.78","4,195.34",1,1.10,FLOOR BOX DOUBLE GANG DECOR LOW VOLTAGE COVER NICKEL,,,,,,,
FB-6,10085339972331,"6,642.61","4,271.86",6,10.20,FLOOR BOX RECT DECOR DEV FLIP LID BRASS,,,,,,,
FB-6CVR,10085339972423,"4,078.22","3,058.67",1,1.00,FLOOR BOX RECT DECOR FLIP LID BRASS COVER,,,,,,,
FB-6DB,10085339972355,"9,439.50","6,070.54",6,10.20,FLOOR BOX RECT DECOR DEV FLIP LID DARK BRONZE,,,,,,,
FB-6DBCVR,10085339972447,"5,945.13","4,458.85",1,1.00,FLOOR BOX RECT DECOR FLIP LID DARK BRONZE COVER,,,,,,,
FB-6N,10085339972348,"7,691.45","4,946.37",6,10.20,FLOOR BOX RECT DECOR DEV FLIP LID NICKEL,,,,,,,
FB-6NCVR,10085339972430,"4,884.07","3,663.05",1,1.00,FLOOR BOX RECT DECOR FLIP LID NICKEL COVER,,,,,,,
FB-6RI,10085339984624,"2,460.05","1,845.04",6,0.00,FLOOR BOX RECT DECOR DEV FLIP LID ROUGH-IN KIT,,,,,,,
FB-7,10085339972362,"7,167.02","4,609.11",6,10.98,FLOOR BOX ROUND FLIP LID BRASS,,,,,,,
FB-7CVR,10085339972454,"4,090.45","3,067.84",1,1.00,FLOOR BOX ROUND FLIP LID BRASS COVER,,,,,,,
FB-7DB,10085339972386,"9,089.88","5,845.70",6,10.98,FLOOR BOX ROUND FLIP LID DARK BRONZE,,,,,,,
FB-7DBCVR,10085339972478,"5,223.18","3,917.39",1,1.00,FLOOR BOX ROUND FLIP LID DARK BRONZE COVER,,,,,,,
FB-7N,10085339972379,"7,866.25","5,058.78",6,10.98,FLOOR BOX ROUND FLIP LID NICKEL,,,,,,,
FB-7NCVR,10085339972461,"4,898.06","3,673.54",1,1.00,FLOOR BOX ROUND FLIP LID NICKEL COVER,,,,,,,
FB-8,10085339972393,"9,264.69","5,958.12",6,10.98,FLOOR BOX ROUND FLIP LID LOW VOLTAGE BRASS,,,,,,,
FB-8CVR,10085339972485,"5,069.36","3,802.02",1,1.00,FLOOR BOX ROUND FLIP LID LOW VOLTAGE BRASS COVER,,,,,,,
FB-8DB,10085339972416,"11,100.15","7,138.51",6,10.98,FLOOR BOX ROUND FLIP LID LOW VOLTAGE DARK BRONZE,,,,,,,
FB-8DBCVR,10085339972508,"6,467.80","4,850.85",1,1.00,FLOOR BOX ROUND FLIP LID LOW VOLTAGE DARK BRONZE COVER,,,,,,,
FB-8N,10085339972409,"9,963.91","6,407.79",6,10.98,FLOOR BOX ROUND FLIP LID LOW VOLTAGE NICKEL,,,,,,,
FB-8NCVR,10085339972492,"5,768.58","4,326.43",1,1.00,FLOOR BOX ROUND FLIP LID LOW VOLTAGE NICKEL COVER,,,,,,,
FB-BRPLG,10085339941375,626.28,469.71,1,0.10,FLOOR BOX THREADED  BRASS PLUG KIT,,,,,,,
FB-BRPLGLV,10085339990847,874.03,655.52,1,0.10,FLOOR BOX LOW VOLTAGE PLUG BRASS,,,,,,,
FB-CAK,10085339994791,690.92,518.19,6,2.28,CONCRETE ADAPTER KIT,,,,,,,
FB-DBPLG,10085339996054,815.29,611.46,1,0.10,FLOOR BOX THREADED DARK BRONZE PLUG KIT,,,,,,,
FB-DBPLGLV,10085339990854,"1,223.64",917.73,1,0.10,FLOOR BOX LOW VOLTAGE PLUG DARK BRONZE,,,,,,,
FB-NPLG,10085339941382,722.64,541.98,1,0.10,FLOOR BOX THREADED NICKEL PLUG KIT,,,,,,,
FB-NPLGLV,10085339990861,926.47,694.85,1,0.10,FLOOR BOX LOW VOLTAGE PLUG NICKEL,,,,,,,
GRD STRAP,10085339880209,67.73,50.80,100,16.00,ACCESSORY GROUND,,,,,,,
H9319=,10085339101014,157.31,101.16,25,2.25,HANDY BOX COVER SWITCH,,,,,,,
H9320=,10085339101021,132.43,85.17,25,2.00,COVER SWITCH,,,,,,,
H9322=,10085339101038,135.55,87.17,25,2.00,COVER SWITCH,,,,,,,
LED-1,10085339984389,"2,809.00","1,806.47",5,3.85,7 INCH LED LOW-PROFILE LUMINAIRE W MOTION SENSOR - DO NOT REORDER,,,,,,,
LH-11P,10085339870002,345.51,166.04,48,12.48,LAMPHOLDER KEYLESS 4 SCREWS,,,,,,,
LH-11WP,10085339870019,407.22,217.13,48,13.44,LAMPHOLDER KEYLESS 1PW 7 IN WIRE,,,,,,,
LH-12P,10085339870026,518.25,301.41,48,13.92,LAMPHOLDER 3FT PULL CHAIN,,,,,,,
LH-12WP,10085339870033,592.30,344.83,48,14.88,LAMPHOLDER 3 FT PL CHAIN 7IN WIRE,,,,,,,
LH-13P,10085339870040,962.49,426.58,48,17.28,LAMPHOLDER 3FT PULL CHAIN GROUNDED,,,,,,,
LH-21WP,10085339995835,474.60,305.22,48,13.44,LAMPHOLDER  CFL KEYLESS  POLY BAG AND WIRE LEADS,,,,,,,
LH-22WP,10085339995842,616.95,396.76,48,14.88,LAMPHOLDER  CFL PULLCHAIN LAMPHOLDER POLY BAG AND WIRE LEADS,,,,,,,
LH-CFL1,10085339870057,"2,764.01","1,777.54",12,11.52,LH KEYLESS CFL BLISTER PACK,,,,,,,
LH-CFL2,10085339870064,"3,948.58","2,539.33",12,11.52,LH KEYLESS PULLCHAIN  BLISTER PACK,,,,,,,
LH-LED,10085339985812,"3,078.24","2,252.71",12,3.12,LH KEYLESS LED BLISTER PACK,,,,,,,
LVB-1,10085339800023,202.48,130.22,48,10.08,FLEXBOX SINGLE GANG LOW VOLTAGE BRACKET,,,,,,,
LVBOW-1,10085339800030,271.38,174.53,24,4.08,FLEXBOX LOW VOLTAGE OW SINGLE GANG,,,,,,,
LVP-1,10085339800009,133.66,85.96,50,2.15,FLEXBOX LOW VOLTAGE PARTITION,,1.72,,,,,
LVP-2,10085339800054,133.66,85.96,50,2.75,FLEXBOX LOW VOLTAGE PARTITION,,,,,,,
P-108E,10085339249174,239.93,154.30,24,3.00,FLEXBOX SINGLE GANG EARS,,,,,,,
P-108H,10085339249181,239.93,154.30,24,3.00,FLEXBOX SIDE BRCK MNT 8 CU IN,,,,,,,
P-116OW,10085339249150,339.31,218.21,48,9.18,FLEXBOX SINGLE GANG,,,,,,,
P-118OW,10085339927140,394.05,253.41,48,10.51,FLEXBOX SINGLE GANG 18CU,,,,,,,
P-122OW,10085339249136,468.14,301.06,48,12.00,FLEXBOX SINGLE GANG 22.5CU OWB,,,,,,,
P-122SC,10085339249143,407.18,261.86,24,9.00,FLEXBOX SIDE CUBE 22.5 CU,,,,,,,
P-181,10085339243912,179.66,57.24,125,25.00,FLEXBOX SINGLE GANG 18.0CU.,,,,,,,
P-181H,10085339249167,272.67,175.36,48,11.23,FLEX BOX SINGLE FACE BRCKT MNT,,,,,,,
P-181HZ,10085339249198,341.67,219.73,36,11.30,FLEXBOX P-181H WITH FLEXBRKT,,,,,,,
P-181QT,10085339243998,225.75,145.18,125,23.75,FLEXBOX SINGLE GANG 18CU. QCK THRD,,,,,,,
P-181RK,10085339243981,211.13,135.78,125,25.00,FLEXBOX SINGLE GANG 18CU REVERSE,,,,,,,
P-201,10085339249006,210.54,68.58,100,22.00,FLEXBOX SINGLE GANG 20.5CU,,,,,,,
P-201QT,10085339249099,275.85,73.44,100,23.00,FLEXBOX SINGLE GANG 20.5CU QTHREAD,,,,,,,
P-201R,10085339249013,243.14,156.37,100,23.00,FLEXBOX SINGLE GANG 20.5CU,,,,,,,
P-221NV,10085339984976,438.76,282.17,48,12.96,SINGLE GANG 22.0 CU  FLEXBOX VAPOR SEAL,,,,,,,
P-240OW,10085339249129,726.17,467.00,24,7.92,FLEXBOX 2-GANG 40.0 CU OWB,,,,,,,
P-241,10085339249037,247.91,74.52,100,26.00,FLEXBOX SINGLE GANG 24CU,,,,,,,
P-241H,10085339249075,336.66,216.51,50,14.00,FLEXBOX SINGLE GANG FACE BRACKET MOUNT,,,,,,,
P-241HQT,10085339249082,448.19,288.23,50,14.00,FLEXBOX SINGLE GANG QT W/FLANGE 24.0CU,,,,,,,
P-241QT,10085339249044,318.09,79.38,100,25.00,FLEXBOX SINGLE GANG 24.0CU. QTHREAD,,,,,,,
P-241R,10085339249105,243.94,156.88,100,26.00,FLEXBOX SINGLE GANG 24CU REVERSE,,,,,,,
P-352OW,10085339332012,919.77,591.50,12,5.40,FLEXBOX THREE GANG 55 CU OWB,,,,,,,
P-442,10085339440007,522.43,157.68,48,15.84,FLEXBOX TWO GANG 43.5 CU.,,,,,,,
P-442H,10085339440021,816.51,525.09,48,21.12,FLEXBOX 2-GANG 43.5CU HANGER BRKT,,,,,,,
P-442HQT,10085339440038,"1,020.56",656.32,48,21.12,FLEXBOX 2-GANG 43.5CU. HANG-QTHREAD,,,,,,,
P-442QT,10085339440014,678.20,240.17,48,17.28,FLEXBOX 2-GANG 43.5CU QTHREAD,,,,,,,
P-643,10085339463020,783.63,274.48,20,9.00,FLEXBOX THREE GANG 64.0CU,,,,,,,
P-643H,10085339463037,"1,080.29",694.74,20,13.00,FLEXBOX 3 GANG 64.0CU. HANGER BRKT,,,,,,,
P-643HQT,10085339463044,"1,350.36",868.42,20,13.00,FLEXBOX 3-GANG 64.0CU. HANG-QTHREAD,,,,,,,
P-643QT,10085339463013,"1,017.27",400.28,20,9.20,FLEXBOX THREE GANG 64CU QTHREAD,,,,,,,
P-764,10085339940606,"1,214.60",781.11,18,9.00,FLEXBOX FOUR GANG 74.8CU,,,,,,,
P-764B,10085339940613,"1,584.65","1,019.09",18,12.60,FLEXBOX FOUR GANG 74.8CU BAR,,,,,,,
P-764BQT,10085339940620,"1,980.80","1,273.85",18,12.60,FLEXBOX 4-GANG 74.8CU. BAR QTHREAD,,,,,,,
P-764H,10085339940644,"1,523.91",980.03,12,6.96,FLEXBOX FOUR GANG 74.8CU HANGER,,,,,,,
P-764HB,10085339940668,"1,774.35","1,141.09",6,4.98,FLEXBOX FOUR GANG 74.8CU. HG BAR,,,,,,,
P-764HBQT,10085339940675,"2,217.94","1,426.36",6,4.98,FLEXBOX 4-GANG 74.8CU. HG BAR QTHRD,,,,,,,
P-764HQT,10085339940651,"1,904.73","1,224.93",12,8.04,FLEXBOX 4-GANG 74.8CU.HG QTHREAD,,,,,,,
P-764QT,10085339940637,"1,546.30",994.43,18,8.10,FLEXBOX FOUR GANG 74.8CU QTHREAD,,,,,,,
P-9367,10085339987076,340.09,218.71,50,10.00,FLEXBOX SINGLE GANG 16.0 CU,,,,,,,
P-9367OW,10085339987083,441.46,283.90,50,10.00,FLEXBOX SINGLE GANG 16.0 CU WITH WINGS,,,,,,,
PC213-16,10085339983047,993.65,639.02,24,15.84,FLEXBOX 3.5 CEILING 16 BR HNGR,,,,,,,
PC213-16G,10085339983054,"1,113.71",716.23,24,15.60,FLEXBOX 3.5 CU 16 BR HNGR GROUND,,,,,,,
PC213-BH,10085339980305,"1,082.13",695.92,24,26.16,FLEXBOX BH BAR HANGER,,,,,,,
PC213-BHG,10085339980312,"1,202.20",773.14,24,26.64,FLEXBOX BH BAR HANGER GROUND,,,,,,,
PC213-N,10085339980114,397.17,255.42,50,11.00,FLEXBOX 3.5 IN. CEILING,,,,,,,
PC213-NG,10085339980121,534.72,343.88,50,12.00,FLEXBOX 3.5 IN. CEILING,,,,,,,
PC223OW,10085339980282,515.78,331.70,24,8.64,FLEXBOX 3.5 IN CEILING SNAP,,,,,,,
PC223OWG,10085339980299,617.41,397.06,24,9.12,FLEXBOX 3.5 IN CEILING SNAP AND GROUND,,,,,,,
PC234-16,10085339983061,913.83,587.68,24,16.08,FLEXBOX 4 CU 16 BR HNGR,,,,,,,
PC234-16G,10085339983078,"1,034.95",665.58,24,15.60,FLEXBOX 4 CU 16 BR HNGR GROUND,,,,,,,
PC234-BH,10085339980329,"1,002.31",644.58,24,25.92,FLEXBOX BH BAR HANGER,,,,,,,
PC234-BHG,10085339980336,"1,123.46",722.49,24,26.16,FLEXBOX BH BAR HANGER GROUND,,,,,,,
PC234-N,10085339980251,439.92,282.92,50,11.00,FLEXBOX 4 IN CEILING,,,,,,,
PC234-NG,10085339980268,586.99,377.50,50,12.50,FLEXBOX 4 IN. CEILING,,,,,,,
PC244OW,10085339983115,462.97,297.74,24,6.89,FLEXBOX 4 IN CEILING OWB,,,,,,,
PC244OWG,10085339974182,508.36,326.92,24,6.89,FLEXBOX 4 IN. CEILING OWB WITH GROUND,,,,,,,
PJ-20H,10085339990007,642.83,413.40,48,14.40,FLEXBOX 20CI 4 SQ W/BRKT JUNC BOX,,,,,,,
PJ-20N,10085339990014,549.45,353.35,48,11.52,FLEXBOX 20CU 4 SQ NAIL ON JUNC BOX,,,,,,,
PJ-32H,10085339990021,730.48,469.77,48,16.80,FLEXBOX 32CI 4 SQ W/BRKT JUNC BOX,,,,,,,
PJ-32N,10085339990038,648.05,416.76,48,12.96,FLEXBOX 32CU 4 SQ NAIL ON JUNC BOX,,,,,,,
PJ-4B,10085339990083,248.55,159.84,100,8.00,FLEXBOX BLANK COVER,,,,,,,
PJ-4S1,10085339990045,264.11,169.85,100,7.00,FLEXBOX SG GN PLASTER RING 1/2 OS,,,,,,,
PJ-4S2,10085339990052,290.46,186.79,50,4.00,FLEXBOX SG PLASTER RING 5/8 OFST,,,,,,,
PJ-4T1,10085339990069,297.33,191.21,50,3.00,FLEXBOX 2G PLASTER RING 1/2 OFSET,,,,,,,
PJ-4T2,10085339990076,326.83,210.18,50,3.50,FLEXBOX 2G PLASTER RING 5/8 OFST,,,,,,,
RD-42,10085339129070,770.18,495.31,24,21.36,RANGE BOX 42 CU IN,,,,,,,
RD-42SS,10085339129056,823.38,529.52,24,21.12,RANGE BOX 42 CU IN STEEL STUD SCREW,,,,,,,
RD-42V,10085339129063,"1,373.72",883.44,24,22.56,RANGE BOX 42CU VPR SEAL RD-42V,,,,,,,
SB-1,10085339945007,380.17,244.49,48,12.48,SB SINGLE GANG SLIDER BOX,,,,,,,
SB-1H,10085339945038,425.44,273.60,12,3.12,SB SINGLE HANG SB BOX,,,,,,,
SB-2,10085339945014,633.64,407.49,24,9.00,SB TWO GANG SLIDER BOX,,6.84,7.36,,,,
SB-3,10085339945021,814.67,523.92,6,2.94,SB THREE GANG SLIDER BOX,,,,,,,
SB-4,10085339945045,"1,176.75",756.77,6,3.18,SB 4 GANG BOX,,,,,,,
SB-CB,10085339945052,724.16,465.71,12,3.00,SB CEILING BOX,,,,,,,
SB-CBFR,10085339945069,"1,220.33",784.80,12,9.96,SB CEILING BOX FAN RATED,,,,,,,
SB-CBG,10085339945076,844.86,543.33,12,3.84,SB CEILING BOX WITH GROUND,,,,,,,
SBFB-1,10085339975288,"6,326.29","4,068.44",6,10.20,SLIDERBOX FLOOR BOX RECTANGLE FLIP LID BRASS,,,,,,,
SBFB-1CVR,10085339976179,"4,078.22","3,058.67",1,1.00,SLIDERBOX FLOORBOX RECT FLIP LID BRASS COVER,,,,,,,
SBFB-1DB,10085339975295,"8,990.00","5,781.47",6,10.20,SLIDERBOX FLOOR BOX RECTANGLE FLIP LID DARK BRONZE,,,,,,,
SBFB-1DBCVR,10085339976193,"5,945.13","4,458.85",1,1.00,SLIDERBOX FLOORBOX RECT FLIP LID DARK BRONZE COVER,,,,,,,
SBFB-1N,10085339975301,"7,325.18","4,710.82",6,10.20,SLIDERBOX FLOOR BOX RECTANGLE FLIP LID NICKEL,,,,,,,
SBFB-1NCVR,10085339976186,"4,884.07","3,663.05",1,1.00,SLIDERBOX FLOORBOX RECT FLIP LID NICKEL COVER,,,,,,,
WINGS,10085339890567,40.62,30.46,100,2.00,ACCESSORY WINGS WITH SCREW,,,,,,,
WIRE CLAMP,10085339880100,33.30,24.98,100,2.00,ACCESSORY CLAMP,,,,,,,
